team_title,team_slug,team_full_name,team_short_name,team_full_mascot,team_short_mascot,team_home_venue,team_link,team_logo,team_alt_logo
"Ravenwood High School",ravenwood-high-school,Ravenwood,Ravenwood,Ravens,Ravens,-1,,,
"49ers Open Date",49ers-open-date,Open,BYE,Date,,-1,http://49ers.com,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/49ers-logo.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/49ers-125x125.png
"Cal Open Date",cal-open-date,Open,BYE,Date,,-1,http://calbears.com,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/cal-bear-face.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/cal-bear-125x125.png
"Pacific 12 Conference",pacific-12-conference,"Pacific 12","Pacific 12",Championship,Championship,-1,http://pac-12.com/sport/football,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/pac-12.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/pac-12-125x125.png
"WSU Cougars",wsu-cougars,"Washington State",WSU,Cougars,Cougs,reser-stadium,http://www.wsucougars.com/SportSelect.dbml?SPID=126813,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/wsu.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/wsu-125x125.png
"Stanford Cardinal",stanford-cardinal,Stanford,Stanford,Cardinal,Cardinal,-1,http://www.gostanford.com/SportSelect.dbml?SPID=127013&#038;SPSID=749925,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/stanford.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/stanford-125x125.png
"Oregon Ducks",oregon-ducks,Oregon,Oregon,Ducks,Ducks,-1,http://www.goducks.com/SportSelect.dbml?SPID=233,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/oregon.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/oregon-125x125.png
"Colorado Buffaloes",colorado-buffaloes,Colorado,Colorado,Buffaloes,Buffs,-1,http://www.cubuffs.com/SportSelect.dbml?SPID=255,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/colorado.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/colorado-125x125.png
"Arizona Wildcats",arizona-wildcats,Arizona,Arizona,Wildcats,Wildcats,arizona-stadium,http://www.arizonawildcats.com/SportSelect.dbml?SPID=127113,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/arizona.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/arizona-125x125.png
"Sacramento State Hornets",sacramento-state,"Sacramento State","Sac State",Hornets,Hornets,-1,http://hornetsports.com/sports/fball/index,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/sac-state.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/sac-state-125x125.png
"Northwestern Wildcats",northwestern-wildcats,Northwestern,Northwestern,Wildcats,Wildcats,ryan-field,http://www.nusports.com/sports/m-footbl/nw-m-footbl-body.html,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/northwestern.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/northwestern-125x125.png
"BYU Cougars",byu-cougars,"Brigham Young",BYU,Cougars,Cougs,-1,http://byucougars.com/home/m-football,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/byu.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/byu-125x125.png
"OSU Beavers",osu-beavers,"Oregon State",OSU,Beavers,Beavs,reser-stadium,http://www.osubeavers.com,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/osu.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/osu-125x125.png
"San Diego Chargers",san-diego-chargers,"San Diego",SD,Chargers,Bolts,qualcomm-stadium,http://chargers.com,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/chargers.png,http://dev.shoalsummitsolutions.com/wp-content/uploads/2014/04/chargers-125x125.png
"Oakland Raiders",oakland-raiders,Oakland,Oakland,Raiders,Raiders,o-co-stadium,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/raiders.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/raiders.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/raiders-125x125.jpg
"Denver Broncos",denver-broncos,Denver,Denver,Broncos,Broncos,sports-authority-field,http://denverbroncos.com,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/broncos.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/broncos-125x125.png
"Dallas Cowboys",dallas-cowboys,Dallas,Dallas,Cowboys,Boys,att-stadium,http://dallascowboys.com,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/cowboys.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/cowboys-125x125.png
"New York Giants",new-york-giants,"New York",NY,Giants,Gmen,metlife-stadium,http://giants.com,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/giants.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/giants-125x125.png
"Kansas City Chiefs",kansas-city-chiefs,"Kansas City",KC,Chiefs,Chiefs,arrowhead-stadium,http://kcchiefs.com,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/chiefs.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/chiefs-125x125.png
"Chicago Bears",chicago-bears,Chicago,Chicago,Bears,Bears,soldier-field,http://www.chicagobears.com/,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/bears.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/bears-125x125.png
"Philadelphia Eagles",philadelphia-eagles,Philadelphia,Philadelphia,Eagles,Eagles,lincoln-financial-field,http://www.philadelphiaeagles.com/,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/eagles.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/eagles-125x125.png
"Indianapolis Colts",indianapolis-colts,Indianapolis,,Colts,,lucas-oil-stadium,http://colts.com,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/colts.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/colts-125x125.png
"Washington Redskins",washington-redskins,Washington,Washington,Redskins,Skins,raymond-james-stadium,http://redskins.com,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/redskins.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/redskins-125x125.png
"New Orleans Saints",new-orleans-saints,"New Orleans","New Orleans",Saints,Saints,new-orleans-superdome,http://neworleanssaints.com,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/saints.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/saints-125x125.png
"Carolina Panthers",carolina-panthers,Carolina,Carolina,Panthers,Panthers,reliant-stadium,http://panthers.com,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/panthers.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/panthers-125x125.png
"St Louis Rams",st-louis-rams,"St. Louis",,Rams,,edward-jones-dome,http://www.stlouisrams.com/,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/rams.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/rams-125x125.png
"Jacksonville Jaguars",jacksonville-jaguars,Jacksonville,Jax,Jaguars,Jags,reliant-stadium,http://jaguars.com,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/jaguars.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/jaguars-125x125.png
"Tennessee Titans",tennessee-titans,Tennessee,Tennessee,Titans,Titans,lp-field,http://www.titansonline.com/,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/titans.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/titans-125x125.png
"Houston Texans",1363,Houston,Houston,Texans,Texans,reliant-stadium,http://houstontexans.com,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/texans.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/texans-125x125.png
"Green Bay Packers",green-bay-packers,"Green Bay","Green Bay",Packers,Packers,lambeau-field,http://packers.com,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/packers.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/packers-125x125.png
"Atlanta Falcons",1358,Atlanta,Atlanta,Falcons,Falcons,francis-parker-school,http://atlantafalcons.com,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/falcons.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/falcons-125x125.png
"Seattle Seahawks",seattle-seahawks,Seattle,Seattle,Seahawks,Seahawks,centurylink-field,http://seahawks.com,http://dev.shoalsummitsolutions.com/wp-content/uploads/2013/11/seahawks.png,http://dev.shoalsummitsolutions.com/wp-content/uploads/2013/11/seahawks-125x125.png.png
"Tampa Bay Buccaneers",1344,"Tampa Bay",Tampa,Buccaneers,Bucs,raymond-james-stadium,http://www.buccaneers.com/,http://dev.shoalsummitsolutions.com/wp-content/uploads/2013/10/buccaneers.png,http://dev.shoalsummitsolutions.com/wp-content/uploads/2013/10/buccaneers-150x150.png.png
"Washington Huskies",washington-huskies,Washington,Washington,Huskies,Huskies,husky-stadium,http://www.gohuskies.com/SportSelect.dbml?SPID=126613,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/washington.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/washington-125x125.png
"UCLA Bruins",ucla-bruins,UCLA,UCLA,Bruins,Bruins,the-rose-bowl,http://www.uclabruins.com/SportSelect.dbml?DB_OEM_ID=30500&#038;SPID=126913&#038;SPSID=749825,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/ucla.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/ucla-125x125.png
"USC Trojans",1315,"Southern California",USC,Trojans,Trojans,los-angeles-memorial-coliseum,http://www.usctrojans.com/,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/usc.png,http://dev.shoalsummitsolutions.com/wp-content/plugins/game-schedules/images/logos/usc-125x125.png
"Arizona Cardinals",1304,Arizona,Arizona,Cardinals,Cards,university-of-phoenix-stadium,http://azcardinals.com,http://dev.shoalsummitsolutions.com/wp-content/uploads/2013/10/cardinals.png,http://dev.shoalsummitsolutions.com/wp-content/uploads/2013/10/cardinals-125x125.png.png
"San Francisco 49ers",san-francisco-49ers,"San Francisco",SF,49ers,Niners,levis-stadium,http://49ers.com,http://dev.shoalsummitsolutions.com/wp-content/uploads/2013/10/49ers-logo.png,
"St Mary&#8217;s Panthers",st-marys-panthers,,,,,,,,
"California Golden Bears",cal-bears,California,Cal,"Golden Bears",Bears,california-memorial-stadium,http://calbears.com,,
